company,producing_country
Anglo American,Brazil
Anglo American,South Africa
Anglo American,Namibia
Anglo American,Botswana
Anglo American,Zimbabwe
Anglo American,Australia
Anglo American,Canada
Anglo American,Chile
Anglo American,Colombia
AngloGold Ashanti,Brazil
AngloGold Ashanti,Tanzania
AngloGold Ashanti,Ghana
AngloGold Ashanti,Mali
AngloGold Ashanti,South Africa
AngloGold Ashanti,Argentina
AngloGold Ashanti,Australia
AngloGold Ashanti,Guinea
AngloGold Ashanti,DRC
Antofagasta,Chile
ArcelorMittal,Bosnia and Herzegovina
ArcelorMittal,Liberia
ArcelorMittal,Kazakhstan
ArcelorMittal,Ukraine
ArcelorMittal,Mexico
ArcelorMittal,Brazil
ArcelorMittal,USA
ArcelorMittal,Canada
Banpu,Indonesia
Banpu,Australia
Banpu,China
Banpu,Thailand
Barrick Gold Corp,Peru
Barrick Gold Corp,Zambia
Barrick Gold Corp,Tanzania
Barrick Gold Corp,Papua New Guinea
Barrick Gold Corp,Dominican Republic
Barrick Gold Corp,USA
Barrick Gold Corp,Canada
Barrick Gold Corp,Saudi Arabia
Barrick Gold Corp,Argentina
Barrick Gold Corp,Chile
Barrick Gold Corp,Australia
Barrick Gold Corp,DRC
Barrick Gold Corp,Mali
Barrick Gold Corp,Côte d'Ivoire
BHP,Chile
BHP,Australia
BHP,USA
BHP,Colombia
BHP,Brazil
BHP,Peru
BHP,Canada
BHP,Indonesia
Buenaventura,Peru
Bumi Resources,Indonesia
China Shenhua,China
China Shenhua,Indonesia
Coal India,India
CODELCO,Chile
ERG,Kazakhstan
ERG,DRC
Evraz,Russian Federation
Evraz,South Africa
Evraz,USA
Evraz,Ukraine
Exxaro Resources,South Africa
Exxaro Resources,Australia
Exxaro Resources,USA
First Quantum Minerals,Turkey
First Quantum Minerals,Panama
First Quantum Minerals,Mauritania
First Quantum Minerals,Spain
First Quantum Minerals,Finland
First Quantum Minerals,Zambia
First Quantum Minerals,Australia
Fortescue,Australia
Freeport-McMoRan,Peru
Freeport-McMoRan,Chile
Freeport-McMoRan,Indonesia
Freeport-McMoRan,USA
Glencore,DRC
Glencore,New Caledonia
Glencore,Zambia
Glencore,Colombia
Glencore,Bolivia
Glencore,Argentina
Glencore,Peru
Glencore,South Africa
Glencore,Canada
Glencore,Australia
Glencore,Kazakhstan
Glencore,Chile
Glencore,Tunisia
Gold Fields,Peru
Gold Fields,Ghana
Gold Fields,South Africa
Gold Fields,Australia
Grupo México,Mexico
Grupo México,Peru
Grupo México,USA
Industrias Peñoles,Mexico
MMG,DRC
MMG,Peru
MMG,Lao PDR
MMG,Australia
Navoi MMC,Uzbekistan
Newcrest Mining,Côte d'Ivoire
Newcrest Mining,Indonesia
Newcrest Mining,Papua New Guinea
Newcrest Mining,Australia
Newmont,Ghana
Newmont,Peru
Newmont,Suriname
Newmont,USA
Newmont,Australia
Newmont,Canada
Newmont,Indonesia
NMDC,India
Nordgold,Burkina Faso
Nordgold,Guinea
Nordgold,Russian Federation
Nordgold,Kazakhstan
Orano,Niger
Orano,Kazakhstan
Orano,Canada
Peabody Energy,Australia
Peabody Energy,USA
Polymetal,Russian Federation
Polymetal,Armenia
Polymetal,Kazakhstan
Rio Tinto,Mongolia
Rio Tinto,Madagascar
Rio Tinto,Namibia
Rio Tinto,South Africa
Rio Tinto,Australia
Rio Tinto,USA
Rio Tinto,Canada
Rio Tinto,Chile
Rio Tinto,Indonesia
Sibanye-Stillwater,South Africa
Sibanye-Stillwater,USA
Sibanye-Stillwater,Zimbabwe
Teck,Peru
Teck,USA
Teck,Canada
Teck,Chile
RUSAL,Kazakhstan
RUSAL,Guinea
RUSAL,Jamaica
RUSAL,Guyana
RUSAL,Russian Federation
Vale,Peru
Vale,Mozambique
Vale,Indonesia
Vale,New Caledonia
Vale,Brazil
Vale,Canada
Vedanta Resources,South Africa
Vedanta Resources,India
Vedanta Resources,Zambia
Vedanta Resources,Namibia
Vedanta Resources,Ireland
Vedanta Resources,Australia
Zijin,China
Zijin,Australia
Zijin,Tajikistan
Zijin,Kyrgyzstan
Zijin,Russian Federation
Zijin,DRC
Zijin,Papua New Guinea
