Company,Mine Site,Aliases,Company's share (%),Country,Mining type,Products,Status as of 29.11.2019,Year of closure (if applicable),Opening Year,Acquisition Year,Latitude,Longitude,Selected for the mine-site level evaluation,Total Worker Fatalities (2019),Employee Fatalites (2019),Contract Worker Fatalities (2019),Other Fatalities (2019),Total Worker Fatalities (2020),Employee Fatalities (2020),Contract Worker Fatalities (2020),Other Fatalities (2020)
Anglo American,Amandelbult,"Bushveld Complex, Dishaba, Tumela",79.4,South Africa,Underground,"Platinum, Palladium, Rhodium, Copper, Nickel, Gold",Operational,,,,-24.8083,27.3167,Yes,0,Not Specified,Not Specified,Not Specified,1,Not Specified,Not Specified,Not Specified
Anglo American,Bank,,100,South Africa,Open-pit,Coal,"Not in operation (care and maintenance, or closure or post-closure management)",2008,,,-26.057,29.485,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Barro Alto,,100,Brazil,Open-pit,Nickel,Operational,,2004,2004,-15.079458,-48.94423,Yes,0,Not Specified,Not Specified,Not Specified,0,Not Specified,Not Specified,Not Specified
Anglo American,Bokoni,,49,South Africa,Underground,"Platinum, Palladium, Rhodium","Not in operation (care and maintenance, or closure or post-closure management)",2017,,,-24.294,29.869,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Capcoal,"German Creek, Grasstree, Lake Lindsay, Oak Park, Corvus, Tieri, Aquila, Pleiades",70,Australia,"Open-pit, Underground",Coal,Operational,,,,-22.9089,148.5583,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Cerrejón (Anglo American),,33.33,Colombia,Open-pit,Coal,Operational,,1985,2000,11.070713,-72.639419,Yes,0,0,0,Not Specified,0,0,0,Not Specified
Anglo American,Codemin,,100,Brazil,Open-pit,Nickel,Operational,,,,-14.156836,-48.339837,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Collahuasi (Anglo American),,44,Chile,Open-pit,Copper,Operational,,,,-20.99,-68.635,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Damtshaa,,42.5,Botswana,Open-pit,Diamond Carats,Operational,,2003,,-21.31,25.534,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Dawson,,51,Australia,Open-pit,Coal,Operational,,1960,,-24.6093,150.0538,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Debmarine Namibia,,42.5,Namibia,Marine Mining,Diamond Carats,Operational,,,,-28.144554,15.867557,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,El Soldado,,50.1,Chile,Open-pit,Copper,Operational,,,,-32.6504,-71.1134,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Gahcho Kué,,43.35,Canada,Open-pit,Diamond Carats,Operational,,2017,,63.435008,-109.200867,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Grosvenor,,100,Australia,Underground,Coal,Operational,,2016,,-21.974214,148.01072,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Isibonelo,,100,South Africa,Open-pit,Coal,Operational,,2005,,-26.4,29.219,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Jellinbah,,23.3,Australia,Open-pit,Coal,Operational,,1989,,-23.386,148.948,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Jwaneng,,42.5,Botswana,Open-pit,Diamond Carats,Operational,,,,-24.524573,24.701983,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Kolomela,,69.7,South Africa,Open-pit,Iron Ore,Operational,,,,-28.380759,22.96381,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Kroondal (Anglo American),,50,South Africa,Underground,"Platinum, Palladium, Rhodium",Operational,,,,-25.707,27.336,Yes,Not Specified,Not Specified,Not Specified,Not Specified,1,Not Specified,Not Specified,Not Specified
Anglo American,Letlhakane,,42.5,Botswana,Open-pit,Diamond Carats,Operational,,,,-21.52,25.689,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Los Bronces,,50.1,Chile,Open-pit,"Copper, Molybdenum",Operational,,1925,2002,-33.149295,-70.285366,Yes,0,Not Specified,Not Specified,Not Specified,0,Not Specified,Not Specified,Not Specified
Anglo American,Minas-Rio,,100,Brazil,Open-pit,Iron Ore,Operational,,,,-18.876528,-43.430703,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Mogalakwena,"Sandsloot, Zwartfontein",78,South Africa,Open-pit,"Platinum, Palladium, Rhodium, Copper, Gold, Nickel",Operational,,1993,1993,-23.971841,28.914658,Yes,0,Not Specified,Not Specified,Not Specified,0,Not Specified,Not Specified,Not Specified
Anglo American,Moranbah North,,88,Australia,Underground,Coal,Operational,,1996,,-21.876,147.964,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Mototolo,"Borwa, Lebowa",100,South Africa,Underground,"Platinum, Palladium, Rhodium, Copper, Nickel, Gold",Operational,,,2018,-25.000581,30.111264,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Namdeb,,42.5,Namibia,Open-pit,Diamond Carats,Operational,,,,-28.144554,15.867557,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Orapa,,42.5,Botswana,Open-pit,Diamond Carats,Operational,,1971,1971,-21.309107,25.369575,Yes,Not Specified,Not Specified,Not Specified,Not Specified,0,Not Specified,Not Specified,Not Specified
Anglo American,Peace River,Trend,100,Canada,Open-pit,Coal,"Not in operation (care and maintenance, or closure or post-closure management)",2014,2005,2011,54.992,-121.012,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Sera Area,"SASA, MPT 25/2011",42.5,South Africa,Marine Mining,Diamond Carats,"Not in operation (care and maintenance, or closure or post-closure management)",2010,2007,,,,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Sishen,,53.2,South Africa,Open-pit,Iron Ore,Operational,,,,-27.73,22.975,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Snap Lake,,85,Canada,Underground,Diamond Carats,"Not in operation (care and maintenance, or closure or post-closure management)",2015,2008,,63.607,-110.861,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Thabazimbi,,69.7,South Africa,Open-pit,Iron Ore,"Not in operation (care and maintenance, or closure or post-closure management)",2015,1931,,-24.6167,27.3833,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,The Oaks,,42.5,South Africa,Open-pit,Diamond Carats,"Not in operation (care and maintenance, or closure or post-closure management)",2008,,,-22.954845,28.317639,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Twickenham,,100,South Africa,Underground,"Platinum, Palladium, Rhodium","Not in operation (care and maintenance, or closure or post-closure management)",2016,,,-24.457623,30.058245,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Unki,,78,Zimbabwe,Underground,"Platinum, Palladium, Rhodium, Copper, Gold, Nickel",Operational,,2010,2010,-19.623,30.095,Yes,0,Not Specified,Not Specified,Not Specified,0,Not Specified,Not Specified,Not Specified
Anglo American,Venetia,,62.9,South Africa,"Open-pit, Underground",Diamond Carats,Operational,,1992,,-22.434129,29.313523,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Victor,,85,Canada,Open-pit,Diamond Carats,"Not in operation (care and maintenance, or closure or post-closure management)",2019,2008,,52.823,-83.885,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Voorspoed,,62.9,South Africa,Open-pit,Diamond Carats,"Not in operation (care and maintenance, or closure or post-closure management)",2018,2008,,-27.399,27.198,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
AngloGold Ashanti,Cerro Vanguardia,,92.5,Argentina,"Open-pit, Underground","Gold, Silver",Operational,,,,-48.402,-68.285,Yes,0,0,0,Not Specified,0,0,0,Not Specified
AngloGold Ashanti,Córrego do Sítio,"CdS I, São Bento, CdS II, Carvoaria, Laranjeiras, Cachorro Bravo, Rosalino",100,Brazil,"Open-pit, Underground",Gold,Operational,,1989,,-20.02,-43.505,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
AngloGold Ashanti,Cuiabá Complex,"Cuiabá, Lamego, AGA Mineração",100,Brazil,"Open-pit, Underground",Gold,Operational,,1986,2009,-19.867873,-43.739985,Yes,0,0,0,Not Specified,0,0,0,Not Specified
AngloGold Ashanti,Geita,,100,Tanzania,"Open-pit, Underground",Gold,Operational,,2000,2000,-2.86883,32.185113,Yes,0,0,0,Not Specified,0,0,0,Not Specified
AngloGold Ashanti,Iduapriem,Teberebie,100,Ghana,Open-pit,Gold,Operational,,1992,2004,5.242384,-2.043678,Yes,0,0,0,Not Specified,0,0,0,Not Specified
AngloGold Ashanti,Kibali (AngloGold Ashanti),,45,DRC,"Open-pit, Underground",Gold,Operational,,,,3.114434,29.594179,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
AngloGold Ashanti,Nova Lima Sul,"Raposos, Morro da Glória",100,Brazil,Underground,Gold,"Not in operation (care and maintenance, or closure or post-closure management)",2000,,,-19.868,-43.74,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
AngloGold Ashanti,Obuasi,,100,Ghana,"Open-pit, Underground",Gold,"Not in operation (care and maintenance, or closure or post-closure management)",2016,,,6.17,-1.691,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
AngloGold Ashanti,Serra Grande,"Mina III, Mina Nova, Pequizão",100,Brazil,"Open-pit, Underground",Gold,Operational,,,,-14.591024,-48.961988,Yes,0,0,0,Not Specified,0,0,0,Not Specified
AngloGold Ashanti,Siguiri,,85,Guinea,Open-pit,Gold,Operational,,1998,1996,11.558,-9.358,Yes,0,0,0,Not Specified,0,0,0,Not Specified
AngloGold Ashanti,Sunrise Dam,,100,Australia,"Open-pit, Underground",Gold,Operational,,,,-29.082,122.415,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
AngloGold Ashanti,Tropicana,,70,Australia,Open-pit,Gold,Operational,,2013,2002,-29.248,124.552,Yes,0,0,0,Not Specified,0,0,0,Not Specified
AngloGold Ashanti,Yatela,,40,Mali,Open-pit,Gold,"Not in operation (care and maintenance, or closure or post-closure management)",2013,,,14.079,-11.75,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Antofagasta,Antucoya,,70,Chile,Open-pit,Copper,Operational,,2016,2016,-22.63451,-69.865996,Yes,0,0,0,Not Specified,0,0,0,Not Specified
Antofagasta,Centinela,"Esperanza, El Tesoro",70,Chile,Open-pit,"Copper, Gold, Silver, Molybdenum",Operational,,2001,2001,-22.97672,-69.073696,Yes,0,0,0,Not Specified,0,0,0,Not Specified
Antofagasta,Los Pelambres,,60,Chile,Open-pit,"Copper, Gold, Silver, Molybdenum",Operational,,2000,2000,-31.721432,-70.491375,Yes,0,0,0,Not Specified,0,0,0,Not Specified
Antofagasta,Zaldívar (Antofagasta),,50,Chile,Open-pit,Copper,Operational,,1995,2015,-24.214008,-69.067307,Yes,0,0,0,0,0,0,0,0
ArcelorMittal,Andrade,,100,Brazil,Open-pit,Iron Ore,Operational,,1944,2009,-19.788889,-43.185833,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
ArcelorMittal,Atansore,,100,Kazakhstan,"Open-pit, Underground",Iron Ore,Operational,,,,52.7625,71.5464,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
ArcelorMittal,Atasu,,100,Kazakhstan,"Open-pit, Underground",Iron Ore,Operational,,1956,2003,48.67415,71.617175,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
ArcelorMittal,Baffinland,Mary River,25.23,Canada,Open-pit,Iron Ore,Operational,,,,71.325841,-79.369971,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
