company,stock_exchange,stock_exchange_country
Anglo American,London Stock Exchange (LSE),UK
Anglo American,Botswana Stock Exchange (BSE),Botswana
Anglo American,Swiss Exchange (SIX),Switzerland
Anglo American,Namibian Stock Exchange (NSX),Namibia
AngloGold Ashanti,Johannesburg Stock Exchange (JSE),South Africa
AngloGold Ashanti,New York Stock Exchange (NYSE),USA
AngloGold Ashanti,Australian Securities Exchange (ASX),Australia
Antofagasta,London Stock Exchange (LSE),UK
ArcelorMittal,Amsterdam Stock Exchange (Euronext Amsterdam) (ENX),Netherlands
ArcelorMittal,New York Stock Exchange (NYSE),USA
ArcelorMittal,Paris Stock Exchange (Euronext Paris) (ENX),France
ArcelorMittal,Madrid Stock Exchange (Bolsa de Madrid) (BME),Spain
ArcelorMittal,Luxembourg Stock Exchange (LuxX),Luxembourg
Banpu,Stock Exchange of Thailand (SET),Thailand
Barrick Gold Corp,Toronto Stock Exchange (TSX),Canada
Barrick Gold Corp,New York Stock Exchange (NYSE),USA
BHP,Australian Securities Exchange (ASX),Australia
BHP,London Stock Exchange (LSE),UK
BHP,Johannesburg Stock Exchange (JSE),South Africa
BHP,New York Stock Exchange (NYSE),USA
BHP,New York Stock Exchange Consolidated (NYSE),USA
Bumi Resources,Indonesia Stock Exchange (IDX),Indonesia
China Shenhua,Shanghai Stock Exchange (SSE),China
China Shenhua,Stock Exchange of Hong Kong (HKEx),Hong Kong
Coal India,National Stock Exchange of India (NSE),India
Coal India,Bombay Stock Exchange (BSE),India
Buenaventura,"Lima Stock Exchange, Bolsa de Valores de Lima (BVL)",Peru
Buenaventura,New York Stock Exchange (NYSE),USA
Evraz,London Stock Exchange (LSE),UK
Exxaro Resources,Johannesburg Stock Exchange (JSE),South Africa
First Quantum Minerals,Toronto Stock Exchange (TSX),Canada
First Quantum Minerals,Lusaka Stock Exchange (LUSE),Zambia
Fortescue,Australian Securities Exchange (ASX),Australia
Freeport-McMoRan,New York Stock Exchange (NYSE),USA
Glencore,London Stock Exchange (LSE),UK
Glencore,Johannesburg Stock Exchange (JSE),South Africa
Gold Fields,Johannesburg Stock Exchange (JSE),South Africa
Gold Fields,New York Stock Exchange (NYSE),USA
Gold Fields,Swiss Exchange (SIX),Switzerland
Grupo México,"Lima Stock Exchange, Bolsa de Valores de Lima (BVL)",Peru
Industrias Peñoles,Mexico Stock Exchange (MexBol) (BMV),Mexico
MMG,Stock Exchange of Hong Kong (HKEx),Hong Kong
MMG,Australian Securities Exchange (ASX),Australia
Newcrest Mining,Australian Securities Exchange (ASX),Australia
Newcrest Mining,Papua New Guinea’s National Stock Exchange (PNGX),Papua New Guinea
Newmont,New York Stock Exchange (NYSE),USA
Newmont,Toronto Stock Exchange (TSX),Canada
NMDC,National Stock Exchange of India (NSE),India
Peabody Energy,New York Stock Exchange (NYSE),USA
Polymetal,London Stock Exchange (LSE),UK
Polymetal,PJSC Moscow Exchange MICEX-RTS (“Moscow Exchange”) (MOEX),Russian Federation
Polymetal,Astana International Exchane (AIX),Kazakhstan
Rio Tinto,Australian Securities Exchange (ASX),Australia
Rio Tinto,London Stock Exchange (LSE),UK
Rio Tinto,New York Stock Exchange (NYSE),USA
Sibanye-Stillwater,Johannesburg Stock Exchange (JSE),South Africa
Sibanye-Stillwater,New York Stock Exchange (NYSE),USA
Teck,Toronto Stock Exchange (TSX),Canada
Teck,New York Stock Exchange (NYSE),USA
RUSAL,Stock Exchange of Hong Kong (HKEx),Hong Kong
RUSAL,PJSC Moscow Exchange MICEX-RTS (“Moscow Exchange”) (MOEX),Russian Federation
Vale,"BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros (BVMF)",Brazil
Vale,LATIBEX (LATIBEX),Spain
Vale,New York Stock Exchange (NYSE),USA
Vale,Paris Stock Exchange (Euronext Paris) (ENX),France
Zijin,Shanghai Stock Exchange (SSE),China
Zijin,Stock Exchange of Hong Kong (HKEx),Hong Kong
