name,country,company,percent_shares
Public Investment Corporation (SOC) Limited,South Africa,Anglo American,11.22%
"BlackRock Institutional Trust Company, N.A.",USA,Anglo American,5.93%
"Silchester International Investors, L.L.P.",UK,Anglo American,5.10%
"Genesis Investment Management, LLP",UK,Anglo American,4.03%
"Tarl Investment Holdings (RF) Pty, Ltd.",South Africa,Anglo American,3.44%
"Epoch Two Investment Holdings (RF) Pty, ltd.",UK,Anglo American,3.07%
Coronation Fund Managers Limited,South Africa,Anglo American,2.99%
"The Vanguard Group, Inc.",USA,Anglo American,2.60%
Norges Bank Investment Management (NBIM),Norway,Anglo American,2.25%
Schroder Investment Management Ltd. (SIM),UK,Anglo American,1.99%
Volcan Holdings Plc,Cyprus,Anglo American,1.80%
Legal & General Investment Management Ltd.,UK,Anglo American,1.68%
"Epoch Investment Holdings (RF) Pty, Ltd.",South Africa,Anglo American,1.66%
SAFE Investment Company Limited,Hong Kong,Anglo American,0.88%
"Dimensional Fund Advisors, L.P.",USA,Anglo American,0.87%
DZ PRIVATBANK S.A.,Luxembourg,Anglo American,0.74%
"Wellington Management Company, LLP",USA,Anglo American,0.72%
RWC Partners Limited,UK,Anglo American,0.70%
BlackRock Investment Management (UK) Ltd.,UK,Anglo American,0.67%
Artemis Investment Management LLP,UK,Anglo American,0.67%
"Sprucegrove Investment Management, Ltd.",Canada,Anglo American,0.65%
State Street Global Advisors (UK) Ltd.,UK,Anglo American,0.63%
Prudential Portfolio Managers (South Africa) (Pty) Ltd,South Africa,Anglo American,0.63%
Aberdeen Standard Investments (Edinburgh),UK,Anglo American,0.61%
BlackRock Advisors (UK) Limited,UK,Anglo American,0.57%
GIC Private Limited,Singapore,Anglo American,0.50%
UBS Asset Management (UK) Ltd.,UK,Anglo American,0.49%
M & G Investment Management Ltd.,UK,Anglo American,0.48%
"Northern Trust Investments, Inc.",USA,Anglo American,0.47%
Sanlam Investment Management (Pty) Ltd.,South Africa,Anglo American,0.45%
State Street Global Advisors (US),USA,Anglo American,0.43%
Union Investment Privatfonds GmbH,Germany,Anglo American,0.40%
Aberdeen Asset Investments Limited,UK,Anglo American,0.39%
Schweizerische Nationalbank,Switzerland,Anglo American,0.38%
Royal London Asset Management Ltd.,UK,Anglo American,0.34%
"Geode Capital Management, L.L.C.",USA,Anglo American,0.34%
"Arrowstreet Capital, Limited Partnership",USA,Anglo American,0.32%
Old Mutual Investment Group (South Africa) (Pty) Limited,South Africa,Anglo American,0.29%
"State Street Global Advisors (Japan) Co., Ltd.",Japan,Anglo American,0.28%
Investec Asset Management (Pty) Ltd.,South Africa,Anglo American,0.28%
Credit Suisse Asset Management,Switzerland,Anglo American,0.27%
JPMorgan Asset Management U.K. Limited,UK,Anglo American,0.27%
Principal Global Investors (Equity),USA,Anglo American,0.25%
Majedie Asset Management Limited,UK,Anglo American,0.24%
HSBC Global Asset Management (UK) Limited,UK,Anglo American,0.23%
Nuveen LLC,USA,Anglo American,0.23%
Van Eck Associates Corporation,USA,Anglo American,0.22%
APG Asset Management N.V.,Netherlands,Anglo American,0.22%
Florida State Board of Administration,USA,Anglo American,0.21%
Aviva Investors Global Services Limited,UK,Anglo American,0.20%
J O Hambro Capital Management Limited,UK,Anglo American,0.19%
Debswana Diamond Company (PTY) Ltd,Botswana,Anglo American,0.18%
STANLIB Asset Management Ltd.,South Africa,Anglo American,0.18%
Allianz Global Investors GmbH,Germany,Anglo American,0.17%
Fairtree Asset Management (Pty) Ltd,South Africa,Anglo American,0.17%
West Yorkshire Pension Fund,UK,Anglo American,0.16%
BlackRock Asset Management Deutschland AG,Germany,Anglo American,0.15%
Georgia Division of Investment Services,USA,Anglo American,0.15%
Investec Asset Management Ltd.,UK,Anglo American,0.15%
Jupiter Asset Management Ltd.,UK,Anglo American,0.15%
Cambiar Investors LLC,USA,Anglo American,0.15%
Vanguard Investments Singapore Pte. Ltd._NLE,Singapore,Anglo American,0.14%
Northern Trust Global Investments Limited,UK,Anglo American,0.14%
"AQR Capital Management, LLC",USA,Anglo American,0.13%
Jennison Associates LLC,USA,Anglo American,0.13%
Manulife Investment Management (Europe) Limited,UK,Anglo American,0.13%
Abax Investments (Pty) Limited,South Africa,Anglo American,0.12%
BlackRock Fund Advisors,USA,Anglo American,0.12%
Fidelity Management & Research Company,USA,Anglo American,0.11%
LSV Asset Management,USA,Anglo American,0.11%
Oasis Asset Management Ltd.,South Africa,Anglo American,0.11%
Mellon Investments Corporation,USA,Anglo American,0.10%
Momentum Asset Management (Pty) Ltd.,South Africa,Anglo American,0.10%
Amundi Deutschland GmbH,Germany,Anglo American,0.10%
Citadel Asset Management,South Africa,Anglo American,0.10%
"Charles Schwab Investment Management, Inc.",USA,Anglo American,0.10%
Sjunde AP-fonden,Sweden,Anglo American,0.09%
Ohio Public Employees Retirement System,USA,Anglo American,0.09%
Hosking Partners LLP,UK,Anglo American,0.09%
INVESCO Asset Management Limited,UK,Anglo American,0.09%
River and Mercantile Asset Management LLP,UK,Anglo American,0.09%
Newton Investment Management Ltd.,UK,Anglo American,0.09%
"BlackRock Financial Management, Inc.",USA,Anglo American,0.08%
"Invesco Advisers, Inc.",USA,Anglo American,0.08%
INVESCO Asset Management Deutschland GmbH,Germany,Anglo American,0.08%
MN Services N.V.,Netherlands,Anglo American,0.08%
Credit Suisse Family Wealth Management,USA,Anglo American,0.08%
Teacher Retirement System of Texas,USA,Anglo American,0.08%
Santander Asset Management UK Limited,UK,Anglo American,0.08%
Taquanta Asset Managers (Pty) Ltd,South Africa,Anglo American,0.08%
"T. Rowe Price Associates, Inc.",USA,Anglo American,0.07%
Columbia Threadneedle Investments (UK),UK,Anglo American,0.07%
Lazard Asset Management Limited,UK,Anglo American,0.07%
Canada Life Investments,UK,Anglo American,0.07%
Fidelity Institutional Asset Management,USA,Anglo American,0.07%
The National Farmers Union Mutual Insurance Society Limited,UK,Anglo American,0.07%
"Templeton Investment Counsel, L.L.C.",USA,Anglo American,0.06%
10X Investments (Pty) Ltd.,South Africa,Anglo American,0.06%
United Nations Joint Staff Pension Fund,USA,Anglo American,0.06%
Capfi Delen Asset Management,Belgium,Anglo American,0.06%
1832 Asset Management L.P.,Canada,Anglo American,0.06%
National Pension Service,South Korea,Anglo American,0.06%
Delen Private Bank Luxembourg S.A.,Luxembourg,Anglo American,0.06%
Grantham Mayo Van Otterloo & Co LLC,USA,Anglo American,0.06%
Vanguard Global Advisers LLC,USA,Anglo American,0.06%
California State Teachers Retirement System,USA,Anglo American,0.06%
JPMorgan Asset Management,USA,Anglo American,0.06%
Liontrust Asset Management PLC,UK,Anglo American,0.06%
Fisher Investments,USA,Anglo American,0.06%
Polar Capital LLP,UK,Anglo American,0.05%
BAE Systems Pension Funds Investment Management Ltd.,UK,Anglo American,0.05%
Royal London Asset Management (CIS) Limited,UK,Anglo American,0.05%
"Putnam Investment Management, L.L.C.",USA,Anglo American,0.05%
"Dimensional Fund Advisors, Ltd.",UK,Anglo American,0.05%
"Lord, Abbett & Co. LLC",USA,Anglo American,0.05%
Zürcher Kantonalbank (Asset Management),Switzerland,Anglo American,0.05%
Absa Asset Management (Pty) Limited,South Africa,Anglo American,0.05%
Irish Life Investment Managers Ltd.,Ireland,Anglo American,0.05%
Sanlam Multi-Manager International Limited,UK,Anglo American,0.05%
PGGM Vermogensbeheer B.V.,Netherlands,Anglo American,0.05%
CPP Investment Board,Canada,Anglo American,0.05%
PSP Investments,Canada,Anglo American,0.05%
Mitsubishi UFJ Trust and Banking Corporation,Japan,Anglo American,0.05%
"BlackRock Japan Co., Ltd.",Japan,Anglo American,0.04%
Trexquant Investment LP,USA,Anglo American,0.04%
California Public Employees' Retirement System,USA,Anglo American,0.04%
Cutifani (Mark),Australia,Anglo American,0.04%
Copper Rock Capital Partners LLC,USA,Anglo American,0.04%
Mondrian Investment Partners Ltd.,UK,Anglo American,0.04%
Swedbank Robur Fonder AB,Sweden,Anglo American,0.04%
DWS International GmbH,Germany,Anglo American,0.04%
New Jersey Division of Investment,USA,Anglo American,0.04%
Ivy Investment Management Company,USA,Anglo American,0.04%
Federated Investment Management Company,USA,Anglo American,0.04%
Investec Bank (Switzerland) AG,Switzerland,Anglo American,0.04%
Oregon Public Employees Retirement System,USA,Anglo American,0.04%
Robeco Institutional Asset Management B.V.,Netherlands,Anglo American,0.04%
Bank Vontobel AG (Private Banking),Switzerland,Anglo American,0.04%
Putnam Investments Limited,UK,Anglo American,0.04%
Assenagon Asset Management S.A.,Germany,Anglo American,0.04%
Origin Asset Management LLP,UK,Anglo American,0.04%
"Lazard Asset Management, L.L.C.",USA,Anglo American,0.04%
Amundi SGR SpA,Italy,Anglo American,0.04%
Rhumbline Advisers Ltd. Partnership,USA,Anglo American,0.03%
BlackRock Asset Management Canada Limited,Canada,Anglo American,0.03%
JPMorgan Asset Management (Hong Kong) Ltd.,Hong Kong,Anglo American,0.03%
Fidelity International,UK,Anglo American,0.03%
Ashburton Fund Managers (Proprietary) Limited,South Africa,Anglo American,0.03%
Landesbank Baden-Württemberg,Germany,Anglo American,0.03%
"Allianz Global Investors Japan Co., Ltd.",Japan,Anglo American,0.03%
Storebrand Kapitalforvaltning AS,Norway,Anglo American,0.03%
"Bridgewater Associates, LP",USA,Anglo American,0.03%
Helaba Invest Kapitalanlagegesellschaft mbH,Germany,Anglo American,0.03%
AXA Rosenberg Investment Management LLC,USA,Anglo American,0.03%
LGT Bank (Schweiz) AG,Switzerland,Anglo American,0.03%
Pictet Asset Management Ltd.,UK,Anglo American,0.03%
Northern Trust Global Investments,USA,Anglo American,0.03%
Caisse de Depot et Placement du Quebec,Canada,Anglo American,0.03%
Mandarine Gestion,France,Anglo American,0.03%
Old Mutual Customised Solutions (Pty) Ltd,South Africa,Anglo American,0.03%
Danske Capital,Denmark,Anglo American,0.03%
French (Seamus G),UK,Anglo American,0.03%
ARCA Fondi SGR S.p.A,Italy,Anglo American,0.03%
LGPS Central Limited,UK,Anglo American,0.03%
Aeon Investment Management (Pty) Ltd,South Africa,Anglo American,0.03%
Laurium Capital (Pty) Ltd,South Africa,Anglo American,0.03%
Sygnia Asset Management,South Africa,Anglo American,0.03%
Momentum Collective Investments (RF) (Pty) Ltd.,South Africa,Anglo American,0.03%
"American Century Investment Management, Inc.",USA,Anglo American,0.03%
Personal Trust (Pty) Limited,South Africa,Anglo American,0.03%
BMO Global Asset Management,UK,Anglo American,0.03%
Amundi Asset Management,France,Anglo American,0.03%
Bank J. Safra Sarasin AG (Asset Management),Switzerland,Anglo American,0.03%
Marathon Asset Management LLP,UK,Anglo American,0.03%
First Trust Advisors L.P.,USA,Anglo American,0.03%
Janus Henderson Investors,UK,Anglo American,0.03%
Fideuram Asset Management (Ireland) dac,Ireland,Anglo American,0.03%
CoreShares Asset Management (Pty) Ltd,South Africa,Anglo American,0.03%
PanAgora Asset Management Inc.,USA,Anglo American,0.02%
"BlackRock Investment Management, LLC",USA,Anglo American,0.02%
Truffle Asset Management (Pty) Limited,South Africa,Anglo American,0.02%
Callan LLC,USA,Anglo American,0.02%
Carroll (Cynthia Blum),UK,Anglo American,0.02%
SEB Investment Management AB,Sweden,Anglo American,0.02%
New York State Teachers' Retirement System,USA,Anglo American,0.02%
Sophus Capital,USA,Anglo American,0.02%
Nykredit Bank AS,Denmark,Anglo American,0.02%
Zürcher Kantonalbank Österreich AG,Austria,Anglo American,0.02%
Liechtensteinische Landesbank AG,Liechtenstein,Anglo American,0.02%
UBS Asset Management (Hong Kong) Limited,Hong Kong,Anglo American,0.02%
Eleva Capital SAS,France,Anglo American,0.02%
Legae Peresec Pty. Ltd.,South Africa,Anglo American,0.02%
Vanguard Investments Australia Ltd.,Australia,Anglo American,0.02%
DJE Kapital AG,Germany,Anglo American,0.02%
36ONE Asset Management (Pty) Ltd,South Africa,Anglo American,0.02%
Aberdeen Asset Managers Ltd.,UK,Anglo American,0.02%
AllianceBernstein Ltd. (Value),UK,Anglo American,0.02%
New Mexico State Investment Council,USA,Anglo American,0.02%
Voya Investment Management LLC,USA,Anglo American,0.02%
Wesleyan Assurance Society,UK,Anglo American,0.02%
"Driehaus Capital Management, LLC",USA,Anglo American,0.02%
"Mapfre Inversión Dos, S.G.I.I.C., S.A.",Spain,Anglo American,0.02%
O'Neill (Anthony),UK,Anglo American,0.02%
"Black Creek Investment Management, Inc.",Canada,Anglo American,0.02%
Alliance Trust Plc.,UK,Anglo American,0.02%
Credit Mutuel Asset Management,France,Anglo American,0.02%
INTECH Investment Management LLC,USA,Anglo American,0.02%
Ostrum Asset Management,France,Anglo American,0.02%
UniCredit Bank AG,Germany,Anglo American,0.02%
Pramerica SGR S.p.A.,Italy,Anglo American,0.02%
MEAG Munich ERGO Kapitalanlagegesellschaft mbH,Germany,Anglo American,0.02%
TD Asset Management Inc.,Canada,Anglo American,0.02%
Deka Investment GmbH,Germany,Anglo American,0.02%
Deka Vermögensmanagement GmbH,Germany,Anglo American,0.02%
Woodford Investment Management Ltd.,UK,Anglo American,0.02%
Mazi Capital (Pty) Ltd,South Africa,Anglo American,0.02%
MFS Investment Management,USA,Anglo American,0.02%
Russell Investments Limited,UK,Anglo American,0.02%
"Neuberger Berman, LLC",USA,Anglo American,0.02%
Merian Global Investors (UK) Limited,UK,Anglo American,0.02%
Lyxor Asset Management,France,Anglo American,0.02%
Hauck & Aufhäuser Fund Services S.A.,Luxembourg,Anglo American,0.02%
DFA Australia Ltd.,Australia,Anglo American,0.02%
Mackenzie Financial Corporation,Canada,Anglo American,0.02%
Seven Investment Management LLP,UK,Anglo American,0.02%
Eurizon Capital S.A.,Luxembourg,Anglo American,0.02%
Manulife Investment Management (US) LLC,USA,Anglo American,0.02%
First Private Investment Management KAG mbH,Germany,Anglo American,0.02%
DWS Investment GmbH,Germany,Anglo American,0.02%
Credit Suisse (Luxembourg) S.A.,Luxembourg,Anglo American,0.02%
Wells Capital Management Inc.,USA,Anglo American,0.02%
Aylett & Company (Pty) Ltd,South Africa,Anglo American,0.02%
Degroof Petercam Asset Management,Belgium,Anglo American,0.02%
Medori (Rene),UK,Anglo American,0.02%
Zurich Life Assurance plc,Ireland,Anglo American,0.02%
Alberta Investment Management Corporation,Canada,Anglo American,0.02%
Mackenzie Investments Europe Limited,Ireland,Anglo American,0.02%
"Franklin Advisers, Inc.",USA,Anglo American,0.02%
Boutique Investment Partners (Pty) Ltd,South Africa,Anglo American,0.02%
AllianceBernstein L.P.,USA,Anglo American,0.02%
De Beers Consolidated Mines Ltd.,South Africa,Anglo American,0.02%
Mediolanum Asset Management Limited,Ireland,Anglo American,0.02%
Banque Degroof Petercam N.V.,Belgium,Anglo American,0.01%
Jyske Invest Fund Management A/S,Denmark,Anglo American,0.01%
AEGON Investment Management B.V.,Netherlands,Anglo American,0.01%
Wanblad (Duncan Graham),UK,Anglo American,0.01%
MFS International (U.K.) Limited,UK,Anglo American,0.01%
Brewin Dolphin Limited,UK,Anglo American,0.01%
Baillie Gifford & Co.,UK,Anglo American,0.01%
Visio Capital Management (Pty) Ltd.,South Africa,Anglo American,0.01%
Investec Asset Management Singapore Pte. Ltd.,Singapore,Anglo American,0.01%
Deutsche Asset Management (UK) Limited,UK,Anglo American,0.01%
StarCapital AG,Germany,Anglo American,0.01%
DNB Asset Management AS,Norway,Anglo American,0.01%
BI Asset Management Fondsmæglerselskab A/S,Denmark,Anglo American,0.01%
KLP Fondsforvaltning AS,Norway,Anglo American,0.01%
"SunAmerica Asset Management, LLC",USA,Anglo American,0.01%
British Columbia Investment Management Corp.,Canada,Anglo American,0.01%
Cleaver (Bruce A),South Africa,Anglo American,0.01%
Alexander Forbes Investments Limited.,South Africa,Anglo American,0.01%
Satrix Managers (RF) (Pty) Ltd,South Africa,Anglo American,0.01%
Pearce (Stephen Thomas),Australia,Anglo American,0.01%
Whitcutt (Peter Graham),UK,Anglo American,0.01%
ThinkCapital Asset Management B.V.,Netherlands,Anglo American,0.01%
"IM Asset Management, Ltd.",UK,Anglo American,0.01%
BMO Asset Management Inc.,Canada,Anglo American,0.01%
State Street Global Advisors Ltd. (Canada),Canada,Anglo American,0.01%
La Banque Postale Asset Management,France,Anglo American,0.01%
"Renta 4 Gestora, S.G.I.I.C., S.A.",Spain,Anglo American,0.01%
PIMCO (US),USA,Anglo American,0.01%
"Validea Capital Management, LLC",USA,Anglo American,0.01%
Prescient Investment Management (Pty) Ltd.,South Africa,Anglo American,0.01%
Tredje AP Fonden,Sweden,Anglo American,0.01%
AFH Wealth Management,UK,Anglo American,0.01%
Fernandes (Ruben),UK,Anglo American,0.01%
a.s.r. vermogensbeheer,Netherlands,Anglo American,0.01%
Quilter Investors Limited,UK,Anglo American,0.01%
Valiant Bank AG,Switzerland,Anglo American,0.01%
Manulife Asset Management Limited,Canada,Anglo American,0.01%
MLC Investments Limited,Australia,Anglo American,0.01%
AXA Rosenberg Investment Management Ltd.,UK,Anglo American,0.01%
Invesco Capital Management LLC,USA,Anglo American,0.01%
Sharenet Investments (Pty) Ltd,South Africa,Anglo American,0.01%
Portfolio Analytics Pty Ltd,South Africa,Anglo American,0.01%
Fidelity Investments Canada ULC,Canada,Anglo American,0.01%
CA Indosuez (Switzerland) S.A.,Switzerland,Anglo American,0.01%
"Vident Investment Advisory, LLC",USA,Anglo American,0.01%
Vunani Fund Managers (Pty) Ltd.,South Africa,Anglo American,0.01%
Lyxor Funds Solutions S.A.,Luxembourg,Anglo American,0.01%
"UBS Asset Management (Americas), Inc.",USA,Anglo American,0.01%
Charreton (Didier),USA,Anglo American,0.01%
Steyn Capital Management (Pty) Ltd,South Africa,Anglo American,0.01%
Fideuram Investimenti SGR S.p.A.,Italy,Anglo American,0.01%
"DWS Investment Management Americas, Inc.",USA,Anglo American,0.01%
"Bailard, Inc.",USA,Anglo American,0.01%
"Nomura Asset Management Co., Ltd.",Japan,Anglo American,0.01%
"TIFF Advisory Services, Inc.",USA,Anglo American,0.01%
Acadian Asset Management LLC,USA,Anglo American,0.01%
"Alpha Architect, LLC",USA,Anglo American,0.01%
Electus Fund Managers Proprietary Limited,South Africa,Anglo American,0.01%
OP Asset Management Limited,Finland,Anglo American,0.01%
Sentio Capital Management (Pty) Ltd,South Africa,Anglo American,0.01%
Deutsche Asset & Wealth Management,USA,Anglo American,0.01%
Aviva Investors France S.A.,France,Anglo American,0.01%
Union Investment Luxembourg S.A.,Luxembourg,Anglo American,0.01%
MacKay Shields LLC,USA,Anglo American,0.01%
Merit Capital NV,Belgium,Anglo American,0.01%
SEI Investments Management Corporation,USA,Anglo American,0.01%
Stonehage Fleming Family and Partners,UK,Anglo American,0.01%
EEA Fund Management Ltd,UK,Anglo American,0.01%
Perpetua Investment Managers (Pty) Ltd,South Africa,Anglo American,0.01%
"Pacer Advisors, Inc.",USA,Anglo American,0.01%
Oddo BHF Asset Management S.A.S,France,Anglo American,0.01%
"First Asset Investment Management, Inc.",Canada,Anglo American,0.01%
"Allianz Popular Asset Management, SGIIC, S.A.",Spain,Anglo American,0.01%
Signal Iduna Asset Management GmbH,Germany,Anglo American,0.01%
Barclays Wealth,UK,Anglo American,0.01%
CPR Asset Management,France,Anglo American,0.01%
Seed Investment Consultants (Pty) Ltd.,South Africa,Anglo American,0.01%
Delen Capfi Private Bank,Belgium,Anglo American,0.01%
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",Japan,Anglo American,0.01%
Metropolitan Life Insurance Co. (US),USA,Anglo American,0.01%
CIBC Asset Management Inc.,Canada,Anglo American,0.01%
IndexIQ Advisors LLC,USA,Anglo American,0.01%
OpenCapital SA,Switzerland,Anglo American,0.01%
Simplisiti Asset Management (Pty) Ltd.,South Africa,Anglo American,0.01%
Anchor Capital (Pty) Ltd,South Africa,Anglo American,0.01%
USAA Asset Management Company,USA,Anglo American,0.01%
Alpcot Capital Management Limited,UK,Anglo American,0.01%
Melville Douglas Investment Management (Pty) Ltd.,South Africa,Anglo American,0.01%
"Mapfre Asset Management, SGIIC, S.A.",Spain,Anglo American,0.01%
Pentalpha Capital Ltd,UK,Anglo American,0.01%
Michaud (Anik),UK,Anglo American,0.01%
IAM Independent Asset Management S.A.,Switzerland,Anglo American,0.01%
Helvetia Versicherungen,Switzerland,Anglo American,0.01%
Allianz Global Investors France,France,Anglo American,<0.01%
Darwin Inversiones S.A.,Argentina,Anglo American,<0.01%
KBC Fund Management Limited,Ireland,Anglo American,<0.01%
BOCI-Prudential Asset Management Ltd.,Hong Kong,Anglo American,<0.01%
Azimut Capital Management Sgr SpA,Italy,Anglo American,<0.01%
Tantalum Capital (Pty) Ltd,South Africa,Anglo American,<0.01%
Seligson & Co Rahastoyhtiö Oyj,Finland,Anglo American,<0.01%
Parker (Sir Thomas John),UK,Anglo American,<0.01%
"Riverfront Investment Group, LLC",USA,Anglo American,<0.01%
Private Client Portfolios ( Pty ) Ltd,South Africa,Anglo American,<0.01%
Matrix Fund Managers (Pty) Ltd,South Africa,Anglo American,<0.01%
KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.,Austria,Anglo American,<0.01%
"Boston Advisors, LLC",USA,Anglo American,<0.01%
LLB Asset Management AG,Liechtenstein,Anglo American,<0.01%
Regarding Capital Management (Pty) Ltd.,South Africa,Anglo American,<0.01%
BlueAlpha Investment Management (Pty) Ltd.,South Africa,Anglo American,<0.01%
Etoile Gestion S.A.,France,Anglo American,<0.01%
Denker Capital (Pty) Ltd,South Africa,Anglo American,<0.01%
Hollard Investment Managers (Pty) Ltd,South Africa,Anglo American,<0.01%
State Street Global Advisors (France) S.A.,France,Anglo American,<0.01%
Allianz Global Investors Asia Pacific Limited,Hong Kong,Anglo American,<0.01%
Artisan Partners Limited Partnership,USA,Anglo American,<0.01%
"Barrow, Hanley, Mewhinney & Strauss, LLC",USA,Anglo American,<0.01%
Morgan Stanley Investment Management Inc. (US),USA,Anglo American,<0.01%
All Weather Capital (Pty) Ltd,South Africa,Anglo American,<0.01%
BlackRock Investment Management (Australia) Ltd.,Australia,Anglo American,<0.01%
ALUWANI Capital Partners (Pty) Ltd.,South Africa,Anglo American,<0.01%
Cavendish Asset Management Ltd.,UK,Anglo American,<0.01%
Element Investment Managers (Pty) Ltd,South Africa,Anglo American,<0.01%
Metzler Asset Management GmbH,Germany,Anglo American,<0.01%
Causeway Capital Management LLC,USA,Anglo American,<0.01%
"Cambria Investment Management, L.P.",USA,Anglo American,<0.01%
"LMCG Investments, LLC",USA,Anglo American,<0.01%
Old Mutual Investment Group (Namibia) (Pty) Limited,Namibia,Anglo American,<0.01%
T. Rowe Price International (UK) Ltd.,UK,Anglo American,<0.01%
Fiduka Depotverwaltung GmbH,Germany,Anglo American,<0.01%
UBS Asset Management (Canada) Inc.,Canada,Anglo American,<0.01%
Bateleur Capital (Pty) Ltd.,South Africa,Anglo American,<0.01%
"Cohen & Steers Capital Management, Inc.",USA,Anglo American,<0.01%
GaveKal Capital Limited,Hong Kong,Anglo American,<0.01%
Swiss Life Asset Management,Switzerland,Anglo American,<0.01%
Capricorn Capital Partners (Pty) Limited,South Africa,Anglo American,<0.01%
Principal Management Corporation,USA,Anglo American,<0.01%
"Sterling Capital Management, LLC",USA,Anglo American,<0.01%
"GuideStone Capital Management, LLC",USA,Anglo American,<0.01%
Monega Kapitalanlagegesellschaft mbH,Germany,Anglo American,<0.01%
"Gerstein, Fisher & Associates, Inc.",USA,Anglo American,<0.01%
ClucasGray Investment Management,South Africa,Anglo American,<0.01%
Raiffeisen Kapitalanlage-Gesellschaft mbH,Austria,Anglo American,<0.01%
Aberdeen Standard Investments Inc.,USA,Anglo American,<0.01%
Grote (Byron Elmer),UK,Anglo American,<0.01%
AMUNDI IBERIA SGIIC SA,Spain,Anglo American,<0.01%
BNP Paribas Asset Management France SAS,France,Anglo American,<0.01%
Ashburton Investments,Jersey,Anglo American,<0.01%
ID-Sparinvest A/S,Denmark,Anglo American,<0.01%
Veritas Institutional GmbH,Germany,Anglo American,<0.01%
Bâloise Asset Management,Switzerland,Anglo American,<0.01%
Monyx Asset Management,Sweden,Anglo American,<0.01%
Artico Partners AG,Switzerland,Anglo American,<0.01%
W & W Asset Management GmbH,Germany,Anglo American,<0.01%
Spängler IQAM Invest Asset Management GmbH,Austria,Anglo American,<0.01%
Sasfin Asset Managers (Pty) Ltd.,South Africa,Anglo American,<0.01%
Finlabo SIM S.p. A.,Italy,Anglo American,<0.01%
"CoreCommodity Management, LLC",USA,Anglo American,<0.01%
Rutherford (James Edmund),Canada,Anglo American,<0.01%
HSBC Global Asset Management (Hong Kong) Limited,Hong Kong,Anglo American,<0.01%
"Daiwa Asset Management Co., Ltd.",Japan,Anglo American,<0.01%
Russell Investments Canada Limited,Canada,Anglo American,<0.01%
Bridge Fund Managers (Pty) Ltd,South Africa,Anglo American,<0.01%
Absa Alternative Asset Management (Pty) Ltd,South Africa,Anglo American,<0.01%
"New York Life Investment Management, LLC",USA,Anglo American,<0.01%
"Franklin Templeton Portfolio Advisors, Inc",USA,Anglo American,<0.01%
Kagiso Asset Management (Pty) Limited,South Africa,Anglo American,<0.01%
Edmond de Rothschild (Italia) SGR SpA,Italy,Anglo American,<0.01%
FIM Asset Management Ltd.,Finland,Anglo American,<0.01%
Société Générale Bank & Trust (Luxembourg),Luxembourg,Anglo American,<0.01%
Nippon Life Global Investors Singapore Limited,Singapore,Anglo American,<0.01%
UBS Switzerland AG,Switzerland,Anglo American,<0.01%
BetaShares Capital Ltd.,Australia,Anglo American,<0.01%
antea Vermögensverwaltung GmbH,Germany,Anglo American,<0.01%
DJD Partners Trust reg.,Liechtenstein,Anglo American,<0.01%
Swiss Life Asset Managers France,France,Anglo American,<0.01%
"Cathay Securities Investment Trust Co., Ltd.",Taiwan,Anglo American,<0.01%
"Nikko Asset Management Co., Ltd.",Japan,Anglo American,<0.01%
Standard Life Investments (Corporate Funds) Ltd,UK,Anglo American,<0.01%
Sanlam Investments UK Limited,UK,Anglo American,<0.01%
Migros Bank Asset Management,Switzerland,Anglo American,<0.01%
ReAssure Limited,UK,Anglo American,<0.01%
Colourfield Liability Solutions (Pty) Ltd,South Africa,Anglo American,<0.01%
Obsidian Capital (Pty) Ltd.,South Africa,Anglo American,<0.01%
"BBVA Asset Management, S.A., S.G.I.I.C.",Spain,Anglo American,<0.01%
JPMorgan Asset Management (Taiwan) Limited,Taiwan,Anglo American,<0.01%
Vestcor Investment Management Corporation,Canada,Anglo American,<0.01%
"Tressis Gestion, S.G.I.I.C., S.A.",Spain,Anglo American,<0.01%
MitonOptimal South Africa (Pty) Limited,South Africa,Anglo American,<0.01%
Novare Investments (Pty) Limited,South Africa,Anglo American,<0.01%
Nedgroup Investment Advisors (Pty) Ltd,South Africa,Anglo American,<0.01%
"U.S. Global Investors, Inc.",USA,Anglo American,<0.01%
Siemens Fonds Invest GmbH,Germany,Anglo American,<0.01%
Inspire Investing,USA,Anglo American,<0.01%
Hampton (Sir Philip Roy),UK,Anglo American,<0.01%
Waverton Investment Management Ltd.,UK,Anglo American,<0.01%
Kathrein Privatbank Aktiengesellschaft,Austria,Anglo American,<0.01%
Intesa Sanpaolo Private Bank Suisse Morval SA,Switzerland,Anglo American,<0.01%
Sella SGR S.p.A.,Italy,Anglo American,<0.01%
Smith & Williamson Investment Management LLP,UK,Anglo American,<0.01%
Osmosis Investment Management LLP,UK,Anglo American,<0.01%
Warwick Funds (Pty) Ltd,South Africa,Anglo American,<0.01%
UBS LA MAISON de Gestion SAS,France,Anglo American,<0.01%
Unigestion,Switzerland,Anglo American,<0.01%
SEI Investments Canada,Canada,Anglo American,<0.01%
Daiwa Asset Management (Singapore) Ltd.,Singapore,Anglo American,<0.01%
African Alliance Mauritius Management Company Limited,Mauritius,Anglo American,<0.01%
Commerzbank AG,Germany,Anglo American,<0.01%
