company,tax_jurisdiction
Anglo American,Angola
Anglo American,Anguilla
Anglo American,Argentina
Anglo American,Australia
Anglo American,Belgium
Anglo American,Bermuda
Anglo American,Botswana
Anglo American,Brazil
Anglo American,British Virgin Islands
Anglo American,Canada
Anglo American,Chile
Anglo American,China
Anglo American,Colombia
Anglo American,DRC
Anglo American,Ecuador
Anglo American,Finland
Anglo American,Gabon
Anglo American,Germany
Anglo American,Hong Kong
Anglo American,India
Anglo American,Indonesia
Anglo American,Ireland
Anglo American,Isle of Man
Anglo American,Israel
Anglo American,Italy
Anglo American,Japan
Anglo American,Jersey
Anglo American,Luxembourg
Anglo American,Macao
Anglo American,Madagascar
Anglo American,Mauritius
Anglo American,Mexico
Anglo American,Mozambique
Anglo American,Namibia
Anglo American,Netherlands
Anglo American,North Macedonia
Anglo American,Panama
Anglo American,Papua New Guinea
Anglo American,Peru
Anglo American,Philippines
Anglo American,Sierra Leone
Anglo American,Singapore
Anglo American,South Africa
Anglo American,Sweden
Anglo American,Switzerland
Anglo American,Tanzania
Anglo American,UAE
Anglo American,UK
Anglo American,USA
Anglo American,Venezuela
Anglo American,Zambia
Anglo American,Zimbabwe
AngloGold Ashanti,Argentina
AngloGold Ashanti,Australia
AngloGold Ashanti,Brazil
AngloGold Ashanti,Ghana
AngloGold Ashanti,Guinea
AngloGold Ashanti,Isle of Man
AngloGold Ashanti,Jersey
AngloGold Ashanti,Mali
AngloGold Ashanti,Tanzania
AngloGold Ashanti,USA
Antofagasta,Australia
Antofagasta,Bermuda
Antofagasta,Bolivia
Antofagasta,British Virgin Islands
Antofagasta,Canada
Antofagasta,Chile
Antofagasta,China
Antofagasta,Jersey
Antofagasta,Peru
Antofagasta,UK
Antofagasta,USA
ArcelorMittal,Argentina
ArcelorMittal,Belgium
ArcelorMittal,Bermuda
ArcelorMittal,Bosnia and Herzegovina
ArcelorMittal,Brazil
ArcelorMittal,Canada
ArcelorMittal,China
ArcelorMittal,Costa Rica
ArcelorMittal,Czechia
ArcelorMittal,France
ArcelorMittal,Germany
ArcelorMittal,India
ArcelorMittal,Italy
ArcelorMittal,Kazakhstan
ArcelorMittal,Liberia
ArcelorMittal,Luxembourg
ArcelorMittal,Mexico
ArcelorMittal,Poland
ArcelorMittal,Romania
ArcelorMittal,South Africa
ArcelorMittal,Spain
ArcelorMittal,Turkey
ArcelorMittal,Ukraine
ArcelorMittal,USA
ArcelorMittal,Venezuela
Banpu,Australia
Banpu,British Virgin Islands
Banpu,Cayman Islands
Banpu,China
Banpu,Indonesia
Banpu,Japan
Banpu,Lao PDR
Banpu,Mauritius
Banpu,Mongolia
Banpu,Singapore
Banpu,Thailand
Banpu,USA
Banpu,Viet Nam
Barrick,Argentina
Barrick,Australia
Barrick,Barbados
Barrick,British Virgin Islands
Barrick,Canada
Barrick,Cayman Islands
Barrick,Chile
Barrick,Côte d'Ivoire
Barrick,Dominican Republic
Barrick,DRC
Barrick,Jersey
Barrick,Mali
Barrick,Pakistan
Barrick,Papua New Guinea
Barrick,Peru
Barrick,Saudi Arabia
Barrick,Tanzania
Barrick,USA
Barrick,Zambia
BHP,Algeria
BHP,Anguilla
BHP,Argentina
BHP,Australia
BHP,Bermuda
BHP,Brazil
BHP,British Virgin Islands
BHP,Canada
BHP,Cayman Islands
BHP,Chile
BHP,China
BHP,Colombia
BHP,Ecuador
BHP,Guernsey
BHP,India
BHP,Indonesia
BHP,Ireland
BHP,Japan
BHP,Jersey
BHP,Liberia
BHP,Malaysia
BHP,Mexico
BHP,Netherlands
BHP,Panama
BHP,Philippines
BHP,Saint Lucia
BHP,Singapore
BHP,South Africa
BHP,Switzerland
BHP,Trinidad and Tobago
BHP,UK
BHP,USA
Boliden,Canada
Boliden,Denmark
Boliden,Finland
Boliden,Germany
Boliden,Ireland
Boliden,Netherlands
Boliden,Norway
Boliden,Spain
Boliden,Sweden
Boliden,UK
Buenaventura,Mexico
Buenaventura,Peru
Bumi Resources,Australia
Bumi Resources,Cayman Islands
Bumi Resources,Indonesia
Bumi Resources,Mauritius
Bumi Resources,Netherlands
Bumi Resources,Seychelles
Bumi Resources,Singapore
Bumi Resources,USA
Bumi Resources,Yemen
China Shenhua,Australia
China Shenhua,China
China Shenhua,Hong Kong
China Shenhua,Indonesia
China Shenhua,Russian Federation
China Shenhua,USA
Coal India,India
Coal India,Mozambique
CODELCO,Bermuda
CODELCO,Brazil
CODELCO,Canada
CODELCO,Chile
CODELCO,China
CODELCO,Ecuador
CODELCO,Germany
CODELCO,Italy
CODELCO,Japan
CODELCO,Jersey
CODELCO,UK
CODELCO,USA
ERG,Brazil
ERG,China
ERG,DRC
ERG,Kazakhstan
ERG,Luxembourg
ERG,Mali
ERG,Mauritius
ERG,Mozambique
ERG,Netherlands
ERG,Russian Federation
ERG,South Africa
ERG,Switzerland
ERG,UAE
ERG,Zambia
ERG,Zimbabwe
Evraz,Canada
Evraz,Cyprus
Evraz,Czechia
Evraz,Kazakhstan
Evraz,Luxembourg
Evraz,Russian Federation
Evraz,Switzerland
Evraz,UK
Evraz,USA
Exxaro,Australia
Exxaro,China
Exxaro,Hong Kong
Exxaro,Netherlands
Exxaro,South Africa
Exxaro,Switzerland
First Quantum,Argentina
First Quantum,Australia
First Quantum,Canada
First Quantum,Finland
First Quantum,Mauritania
First Quantum,Panama
First Quantum,Peru
First Quantum,Spain
First Quantum,Turkey
First Quantum,Zambia
Fortescue,Argentina
Fortescue,Brazil
Fortescue,Chile
Fortescue,China
Fortescue,Colombia
Fortescue,DRC
Fortescue,Ecuador
Fortescue,Greenland
Fortescue,Hong Kong
Fortescue,Indonesia
Fortescue,Kazakhstan
Fortescue,New Zealand
Fortescue,Papua New Guinea
Fortescue,Peru
Fortescue,Portugal
Fortescue,Singapore
Fortescue,South Africa
Fortescue,USA
Freeport-McMoRan,Chile
Freeport-McMoRan,Indonesia
Freeport-McMoRan,Peru
Freeport-McMoRan,USA
Glencore,Antigua and Barbuda
Glencore,Argentina
Glencore,Australia
