Company,Mine Site,Aliases,Company's share (%),Country,Mining type,Products,Status as of 29.11.2019,Year of closure (if applicable),Opening Year,Acquisition Year,Latitude,Longitude,Selected for the mine-site level evaluation,Total Worker Fatalities (2017),Employee Fatalites (2017),Contract Worker Fatalities (2017),Other Fatalities (2017),Total Worker Fatalities (2018),Employee Fatalities (2018),Contract Worker Fatalities (2018),Other Fatalities (2018)
Coal India,Madhaipur,"ECL, Cluster 12",100,India,Underground,Coal,Operational,,,,23.7038,87.3502,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Madhaipur Extension/Rangamati B,"ECL, Cluster 12",100,India,,Coal,"Care and maintenance, or closure or post-closure management",Unknown,,,,,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Madhuband,"BCCL, Barora",100,India,Underground,Coal,Operational,,,,23.8013,86.2527,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Madhujore,"ECL, Cluster 10",100,India,,Coal,"Care and maintenance, or closure or post-closure management",Unknown,,,,,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Madhusudanpur,"ECL, Cluster 10",100,India,Underground,Coal,Operational,,,,23.621,87.204,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Magadh,"CCL, Magadh Amrapali",100,India,Open-pit,Coal,Operational,,,,23.8872,85.0049,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Mahabir,"ECL, Cluster 9",100,India,Open-pit,Coal,Operational,,,,22.2,86.5333,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Maheshpur,"BCCL, Govindpur, Cluster III",100,India,Underground,Coal,Operational,,,,23.7831,86.2502,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Mahuda,"BCCL, Western Jharia, Murlidih 20/21 pits, Lohaqpatti, Bhatdih",100,India,Underground,Coal,Operational,,,,23.732103,86.2485,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Majri,"WCL, Majri",100,India,"Open-pit, Underground",Coal,Operational,,,,20.2631,78.9975,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Mallik Basti,"ECL, Cluster 9",100,India,,Coal,"Care and maintenance, or closure or post-closure management",Unknown,,,,,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Manderboni,"ECL, Cluster 12, Mandarbani",100,India,Underground,Coal,Operational,,,,23.723,87.293,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Manderboni Extension/Rangamati A,"ECL, Cluster 12",100,India,,Coal,"Care and maintenance, or closure or post-closure management",Unknown,,,,,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Mandman,"ECL, Cluster 1",100,India,"Open-pit, Underground",Coal,Operational,,,,23.768,86.745,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Manoharbahal,"ECL, Cluster 7",100,India,,Coal,Operational,,,,,,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Methani,"ECL, Cluster 6",100,India,Underground,Coal,Operational,,,,23.693,86.882,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Mithapur West,"ECL, Cluster 8",100,India,,Coal,"Care and maintenance, or closure or post-closure management",Unknown,,,,,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Mithpur,"ECL, Cluster 8, Mithapur",100,India,Underground,Coal,"Care and maintenance, or closure or post-closure management",Unknown,,,23.674,87.095,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
