Company name,Name of Tailing Storage Facility,Country,Status,Construction method,Impact-based hazard category,Guideline followed for hazard classification system,Latitude (Decimal degrees),Longitude (Decimal degrees)
Newmont Mining,"Resurrection Mining Co - California Gulch, Yak WTP Surge Pond",USA,Care and Maintenance ,Earthen with upstream geometry,High,Canadian Dam Association (CDA),39.2367,-106.2815
Newmont Mining,"Resurrection Mining Co - California Gulch, Res#2 Tailings Pond",USA,Closed,Upstream,Low,Canadian Dam Association (CDA),39.2367,-106.2815
Newmont Mining,"Resurrection Mining Co - California Gulch, Res #1 Tailings Pond",USA,Closed,Upstream,Low,Canadian Dam Association (CDA),39.2367,-106.2815
Newmont Mining,"Resurrection Mining Co - Black Cloud, Iowa Gulch Tailings Impoundment",USA,Closed & rehabilitated,"Hybrid, Downstream, Centreline and Upstream",High,Canadian Dam Association (CDA),39.2241,-106.2341
Newmont Mining,"Dawn Mill, Tailings Disposal Area 1-3",USA,Closed & rehabilitated,Landform,Dry,N/A,47.9053,-117.8256
Newmont Mining,"Dawn Mill, Tailings Disposal Area 4",USA,Closed & rehabilitated,Below Grade Impoundment,Dry,N/A,47.9053,-117.8256
Newmont Mining,"Idarado, Red Mountain #1",USA,Closed - Dry Stack Reclaimed,"Upstream, Reclaimed into a graded landform",Dry,N/A,37.91365,-107.7026
Newmont Mining,"Idarado, Red Mountain #2",USA,Closed - Dry Stack Reclaimed,"Upstream, Reclaimed into a graded landform",Dry,N/A,37.91365,-107.7026
Newmont Mining,"Idarado, Red Mountain #3",USA,Closed - Dry Stack Reclaimed,"Upstream, Reclaimed into a graded landform",Dry,N/A,37.91365,-107.7026
Newmont Mining,"Idarado, Red Mountain #4",USA,Closed - Dry Stack Reclaimed,"Upstream, Reclaimed into a graded landform",Dry,N/A,37.91365,-107.7026
Newmont Mining,"Idarado, Red Mountain Buried Tailings",USA,Closed - Dry Stack Reclaimed,"Upstream, Reclaimed into a graded landform",Dry,N/A,37.91365,-107.7026
Newmont Mining,"Idarado, Telluride Tailings Pile 1-4",USA,Closed - Dry Stack Reclaimed,"Upstream, Reclaimed into a graded landform",Dry,N/A,37.91365,-107.7026
Newmont Mining,"Idarado, Telluride Tailings Pile 5-6",USA,Closed - Dry Stack Reclaimed,"Upstream, Reclaimed into a graded landform",Dry,N/A,37.91365,-107.7026
Newmont Mining,"Mina Cerro Negro, TSF 1",Argentina,Active,Downstream,Significant,Canadian Dam Association (CDA),-46.8706,-70.1963
Newmont Mining,Alumbrera TMS Embankment,Argentina,Inactive/Care and Maintenance,Modified Centerline,Very High,Canadian Dam Association (CDA),-60.5639,-27.3319
Newmont Mining,"Pueblo Viejo, El Llagal TSF",Dominican Republic,Active,Downstream,Extreme,Canadian Dam Association (CDA),-18.8987,-70.1735
Newmont Mining,"Marlin, Represa de Colas",Guatemala,Inactive/Care and Maintenance,Downstream,Significant,Canadian Dam Association (CDA),15.2398,-91.6845
NMDC,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not reported,Not Reported,Not Reported
Nordgold,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not reported,Not Reported,Not Reported
Orano,Bois Noirs Limouzat,France,Closed,Vertical,Safety Factor = 2.46,French regulations and international guidelines,45.96675125,3.721985722
Orano,Ecarpière,France,Closed,Vertical then upstream,Safety Factor = 2.62,French regulations and international guidelines,47.08702508,-1.191499583
Orano,Brugeaud,France,Closed,Upstream and vertical on the sides,Safety Factor = 2.07,French regulations and international guidelines,46.11511089,1.36660825
Orano,Lavaugrasse,France,Closed,Vertical,Safety Factor = 2.76,French regulations and international guidelines,46.12142164,1.364696056
Orano,Montmassacrot,France,Closed,Vertical,Safety Factor = 1.69,French regulations and international guidelines,46.08393139,1.387865056
Orano,Bernardan,France,Closed,Vertical,Safety Factor = 1.81,French regulations and international guidelines,46.32892864,1.252415556
Orano,St Martin du Bosc,France,Closed,Vertical then upstream,Safety Factor = 1.53,French regulations and international guidelines,43.70226228,3.344703583
Orano,Bertholène,France,Closed,Vertical,Safety Factor = 1.96,French regulations and international guidelines,44.38073633,2.761600528
Orano,Saint Pierre du Cantal,France,Closed,Vertical,Safety Factor = 3.14,French regulations and international guidelines,45.39529344,2.390380139
Orano,COMUF,Gabon,Closed,Vertical + downstream,Not Reported,French regulations and international guidelines,1.23,13.9
Orano,SOMAÏR,Niger,Active,Vertical,Not Reported,French regulations and international guidelines,18.46,7.21
Orano,COMINAK,Niger,Active,Vertical,Not Reported,French regulations and international guidelines,18.4,7.18
Peabody Energy,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not reported,Not Reported,Not Reported
Polymetal,Lunnoye TSF,Russian Federation,Active,Modified raising — from centreline to downstream slope,Significant,Canadian Dam Association (CDA),65.08333333,155.0855556
Polymetal,Mayskoye TSF,Russian Federation,Active,Downstream,Significant,Canadian Dam Association (CDA),68.99,173.7380556
Polymetal,Omsukchan TSF 2,Russian Federation,Active,Upstream,Significant,Canadian Dam Association (CDA),62.52861111,155.82
Polymetal,Omsukchan TSF 3,Russian Federation,Active,Upstream,Significant,Canadian Dam Association (CDA),62.54,155.8241667
Polymetal,Omolon TSF,Russian Federation,Active,Upstream,Significant,Canadian Dam Association (CDA),63.68777778,159.9869444
Polymetal,Albazino TSF 1,Russian Federation,Active,Upstream,Significant,Canadian Dam Association (CDA),52.87916667,137.9013889
Polymetal,Albazino TSF 2,Russian Federation,Active,Upstream,Significant,Canadian Dam Association (CDA),52.89,137.9061111
Polymetal,Varvara TSF,Kazakhstan,Active,Upstream and Downstream,Significant,Canadian Dam Association (CDA),52.95,62.16388889
Polymetal,Kyzyl TSF,Kazakhstan,Active,Downstream,Significant,Canadian Dam Association (CDA),81.62805556,49.70277778
Polymetal,Voro DSF,Russian Federation,Active,Dry stacking,Non-hazardous,Federal Law “On industrial waste”,59.65194444,60.31583333
Polymetal,Amursk DSF,Russian Federation,Active,Dry stacking,Non-hazardous,Federal Law “On industrial waste”,50.255,136.8252778
Rio Tinto,Alumar - RSA 1,Brazil,Closed,N/A (single embankment),Low,Internal – based on Canadian Dam Association (2013): Hazard Category of High according to SEMA No 132 Regulation.,-2.73,-44.317
Rio Tinto,Alumar - RSA 2,Brazil,Closed,Upstream,Significant,Internal – based on Canadian Dam Association (2013): Hazard Category of High according to SEMA No 132 Regulation.,-2.726,-44.315
Rio Tinto,Alumar - RSA 3,Brazil,Closed,Upstream,Significant,Internal – based on Canadian Dam Association (2013): Hazard Category of High according to SEMA No 132 Regulation.,-2.728,-44.312
Rio Tinto,Alumar - RSA 4,Brazil,Inactive,Upstream,High,Internal – based on Canadian Dam Association (2013): Hazard Category of High according to SEMA No 132 Regulation.,-2.724,-44.307
Rio Tinto,Alumar - RSA 5,Brazil,Inactive,Upstream,Significant,Internal – based on Canadian Dam Association (2013): Hazard Category of High according to SEMA No 132 Regulation.,-2.718,-44.303
Rio Tinto,Alumar - RSA 6,Brazil,Active,N/A (single embankment),Very High,Internal – based on Canadian Dam Association (2013): Hazard Category of High according to SEMA No 132 Regulation.,-2.726,-44.302
Rio Tinto,Alumar - RSA 7,Brazil,Active,N/A (single embankment),High,Internal – based on Canadian Dam Association (2013): Hazard Category of High according to SEMA No 132 Regulation.,-2.723,-44.298
Rio Tinto,Alumar - Interface 2/3 (23Ha),Brazil,Inactive,Upstream,Significant,Internal – based on Canadian Dam Association (2013): Hazard Category of High according to SEMA No 132 Regulation.,-2.727,-44.313
Rio Tinto,Argyle - AK1 TSF,Australia,Active,Downstream,High C,ANCOLD,-16.71172,128.41963
Rio Tinto,Argyle - Alluvials TSF ATD 1,Australia,Closed,Downstream,N/A: No storage.,N/A,-16.65782,128.45753
Rio Tinto,Argyle - Alluvials TSF ATD 2,Australia,Closed,Downstream,N/A: No storage.,N/A,-16.65674,128.45984
Rio Tinto,Argyle - Alluvials TSF ATD 3,Australia,Inactive,Downstream,Very low,ANCOLD,-16.65407,128.45932
Rio Tinto,Argyle - Alluvials TSF ATD 4,Australia,Inactive,Downstream,Very low,ANCOLD,-16.6647,128.44812
Rio Tinto,Argyle - Alluvials TSF ATD 5,Australia,Inactive,Downstream,Very low,ANCOLD,-16.65579,128.4895
Rio Tinto,Bell Bay Smelter - Red Mud Dam,Australia,Inactive,N/A (single embankment),Low,ANCOLD,-41.12451,146.87901
Rio Tinto,Blackbird - West Fork TSF,USA,Closed,Upstream,Significant,Canadian Dam Association (CDA),45.09222,-114.30444
Rio Tinto,Boron - Boric Acid Pond 1,USA,Active,Downstream,Low,California Department of Water Resources Division of Safety of Dams,35.04481,-117.7271
Rio Tinto,Boron - Boric Acid Pond 2,USA,Active,Downstream,Low,California Department of Water Resources Division of Safety of Dams,35.04481,-117.73185
Rio Tinto,Boron - Boric Acid Pond 3,USA,Active,Downstream,Low,California Department of Water Resources Division of Safety of Dams,35.0447,-117.7361
Rio Tinto,Boron - Boric Acid Pond 4,USA,Active,Downstream,Low,California Department of Water Resources Division of Safety of Dams,35.0484,-117.73601
Rio Tinto,Boron - Boric Acid Pond 5,USA,Active,Downstream,Low,California Department of Water Resources Division of Safety of Dams,35.05234,-117.73613
Rio Tinto,Boron - Boric Acid Pond 6,USA,Active,N/A (single embankment),Low,California Department of Water Resources Division of Safety of Dams,35.05308,-117.73198
Rio Tinto,Boron - Boric Acid Pond 7A,USA,Active,N/A (single embankment),Low,California Department of Water Resources Division of Safety of Dams,35.05644,-117.736
Rio Tinto,Boron - Boric Acid Pond 7B,USA,Active,N/A (single embankment),Low,California Department of Water Resources Division of Safety of Dams,35.05645,-117.7324
Rio Tinto,Boron - Evaporation Ponds R1,USA,Inactive,N/A (single embankment),Low,California Department of Water Resources Division of Safety of Dams,35.04199,-117.7349
Rio Tinto,Boron - Evaporation Ponds R2,USA,Inactive,N/A (single embankment),Low,California Department of Water Resources Division of Safety of Dams,35.04058,-117.73487
Rio Tinto,Boron - Evaporation Ponds R3,USA,Inactive,N/A (single embankment),Low,California Department of Water Resources Division of Safety of Dams,35.03903,-117.73477
Rio Tinto,Boron - Evaporation Ponds R4,USA,Active,N/A (single embankment),Low,California Department of Water Resources Division of Safety of Dams,35.0376,-117.73477
Rio Tinto,Boron - Evaporation Ponds R5,USA,Active,N/A (single embankment),Low,California Department of Water Resources Division of Safety of Dams,35.03632,-117.73479
Rio Tinto,Boron - Evaporation Ponds R6,USA,Active,N/A (single embankment),Low,California Department of Water Resources Division of Safety of Dams,35.03483,-117.7347
