company,tax_jurisdiction
Newcrest Mining,Australia
Newcrest Mining,Canada
Newcrest Mining,Côte d'Ivoire
Newcrest Mining,Ecuador
Newcrest Mining,Fiji
Newcrest Mining,Indonesia
Newcrest Mining,Papua New Guinea
Newcrest Mining,Singapore
Newcrest Mining,USA
Newmont,Argentina
Newmont,Australia
Newmont,Bermuda
Newmont,British Virgin Islands
Newmont,Canada
Newmont,Chile
Newmont,Colombia
Newmont,France
Newmont,Ghana
Newmont,Guinea
Newmont,Guyana
Newmont,Haiti
Newmont,Honduras
Newmont,Indonesia
Newmont,Jersey
Newmont,Liberia
Newmont,Malaysia
Newmont,Mexico
Newmont,Netherlands
Newmont,Papua New Guinea
Newmont,Peru
Newmont,Bolivia
Newmont,Solomon Islands
Newmont,Suriname
Newmont,UK
Newmont,USA
NMDC,Australia
NMDC,India
NMDC,Madagascar
NMDC,South Africa
Rio Tinto,Australia
Rio Tinto,Belgium
Rio Tinto,Bermuda
Rio Tinto,Venezuela
Rio Tinto,Brazil
Rio Tinto,British Virgin Islands
Rio Tinto,Canada
Rio Tinto,Chile
Rio Tinto,China
Rio Tinto,France
Rio Tinto,Gabon
Rio Tinto,Germany
Rio Tinto,Guinea
Rio Tinto,Hong Kong
Rio Tinto,Iceland
Rio Tinto,India
Rio Tinto,Indonesia
Rio Tinto,Italy
Rio Tinto,Japan
Rio Tinto,Jersey
Rio Tinto,Kazakhstan
Rio Tinto,Luxembourg
Rio Tinto,Madagascar
Rio Tinto,Malaysia
Rio Tinto,Malta
Rio Tinto,Mexico
Rio Tinto,Mongolia
Rio Tinto,Morocco
Rio Tinto,Mozambique
Rio Tinto,Namibia
Rio Tinto,Netherlands
Rio Tinto,New Zealand
Rio Tinto,Oman
Rio Tinto,Papua New Guinea
Rio Tinto,Peru
Rio Tinto,Philippines
Rio Tinto,Serbia
Rio Tinto,Singapore
Rio Tinto,South Africa
Rio Tinto,South Korea
Rio Tinto,Spain
Rio Tinto,Sweden
Rio Tinto,Switzerland
Rio Tinto,UAE
Rio Tinto,UK
Rio Tinto,USA
Rio Tinto,Zambia
Rio Tinto,Lao PDR
Rio Tinto,Aruba
Zijin,Australia
Zijin,Barbados
Zijin,Canada
Zijin,China
Zijin,Hong Kong
Zijin,Kyrgyzstan
Zijin,Russian Federation
Zijin,Serbia
Teck,Canada
Teck,Chile
Teck,Peru
Teck,USA
RUSAL,Armenia
RUSAL,Australia
RUSAL,British Virgin Islands
RUSAL,Cyprus
RUSAL,Guinea
RUSAL,Ireland
RUSAL,Italy
RUSAL,Jamaica
RUSAL,Jersey
RUSAL,Luxembourg
RUSAL,Netherlands
RUSAL,Russian Federation
RUSAL,Sweden
RUSAL,Switzerland
RUSAL,Ukraine
RUSAL,USA
Vale,Argentina
Vale,Australia
Vale,Austria
Vale,Barbados
Vale,Belgium
Vale,Bermuda
Vale,Brazil
Vale,Canada
Vale,Cayman Islands
Vale,Chile
Vale,China
Vale,Colombia
Vale,France
Vale,India
Vale,Indonesia
Vale,Isle of Man
Vale,Japan
Vale,Jersey
Vale,Liberia
Vale,Luxembourg
Vale,Malaysia
Vale,Malta
Vale,Mauritius
Vale,Mozambique
Vale,Netherlands
Vale,New Caledonia
Vale,Oman
Vale,Panama
Vale,Paraguay
Vale,Peru
Vale,Philippines
Vale,Singapore
Vale,South Africa
Vale,Switzerland
Vale,Taiwan
Vale,UAE
Vale,UK
Vale,USA
Vale,Uruguay
Vale,Zambia
Vedanta Resources,Australia
Vedanta Resources,Curaçao
Vedanta Resources,Cyprus
Vedanta Resources,India
Vedanta Resources,Ireland
Vedanta Resources,Japan
Vedanta Resources,Jersey
Vedanta Resources,Liberia
Vedanta Resources,Mauritius
Vedanta Resources,Namibia
Vedanta Resources,Netherlands
Vedanta Resources,South Africa
Vedanta Resources,South Korea
Vedanta Resources,Sri Lanka
Vedanta Resources,Taiwan
Vedanta Resources,UAE
Vedanta Resources,UK
Vedanta Resources,USA
Vedanta Resources,Zambia
China Shenhua,Australia
China Shenhua,China
China Shenhua,Hong Kong
China Shenhua,Indonesia
Peabody Energy,Australia
Peabody Energy,Bermuda
Peabody Energy,Venezuela
Peabody Energy,British Virgin Islands
Peabody Energy,China
Peabody Energy,Germany
Peabody Energy,Gibraltar
Peabody Energy,India
Peabody Energy,Indonesia
Peabody Energy,Netherlands
Peabody Energy,Singapore
Peabody Energy,UK
Peabody Energy,USA
Fortescue,Australia
Fortescue,Hong Kong
Fortescue,Singapore
First Quantum Minerals,Canada
Sibanye-Stillwater,South Africa
Buenaventura,Chile
Buenaventura,Mexico
Buenaventura,Peru
Polymetal,Cyprus
Polymetal,Kazakhstan
Polymetal,Russian Federation
Polymetal,UK
Nordgold,British Virgin Islands
Nordgold,Burkina Faso
Nordgold,Canada
Nordgold,Cayman Islands
Nordgold,Cyprus
Nordgold,France
Nordgold,Guinea
Nordgold,Ireland
Nordgold,Jersey
Nordgold,Kazakhstan
Nordgold,Norway
Nordgold,Russian Federation
Nordgold,UK
Orano,Australia
Orano,Canada
Orano,Central African Republic
Orano,China
Orano,France
Orano,Gabon
Orano,Germany
Orano,India
Orano,Japan
Orano,Jordan
Orano,Kazakhstan
Orano,Mongolia
Orano,Namibia
Orano,Niger
Orano,South Korea
Orano,UK
Orano,USA
Orano,US Virgin Islands
